"Name","Type","NameNiederlassung","Street","Postcode","City","State","Wheelchair"
"Deutsche Bank","amenity=bank","München-Riesenfeldstraße","Bertholdstraße 22","80809","München","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","München-Rotkreuzplatz","Nymphenburger Straße 160","80634","München","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","München-Schwabing","Leopoldstraße 71","80802","München","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","München-Schwanthalerstraße","Schwanthalerstraße 32","80336","München","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","München-Sendling","Albert-Roßhaupter-Straße 2","81369","München","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","München-Solln","Herterichstraße 97","81477","München","Bayern / Bavaria","yes"
"Deutsche Bank","amenity=bank","München-Ungererstraße","Ungererstraße 169","80805","München","Bayern / Bavaria","yes"
"Deutsche Bank","amenity=bank","München-Universität","Barer Straße 62","80799","München","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","München-Weißenburger Platz","Weißenburger Platz 8","81667","München","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","München-Wettersteinplatz","Wettersteinplatz 1","81547","München","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","Münster-Hiltrup","Marktallee 41","48165","Münster","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Münster","Stubengasse 21","48143","Münster","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Nagold","Marktstraße 5","72202","Nagold","Baden-Württemberg / Baden-Wuerttemberg","yes"
"Deutsche Bank","amenity=bank","Naumburg","Lindenring 48","6618","Naumburg","Sachsen-Anhalt / Saxony-Anhalt","no"
"Deutsche Bank","amenity=bank","Nettetal-Lobberich","Hochstraße 11","41334","Nettetal","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Neubrandenburg","Friedrich-Engels-Ring 52","17033","Neubrandenburg","Mecklenburg-Vorpommern / Mecklenburg-Western Pomerania","no"
"Deutsche Bank","amenity=bank","Neu-Isenburg","Frankfurter Straße 161","63263","Neu-Isenburg","Hessen","yes"
"Deutsche Bank","amenity=bank","Neumünster","Großflecken 21","24534","Neumünster","Schleswig-Holstein","yes"
"Deutsche Bank","amenity=bank","Neunkirchen (Saar)","Stummstraße 10-12","66538","Neunkirchen (Saar)","Saarland","no"
"Deutsche Bank","amenity=bank","Neuruppin","Karl-Marx-Straße 79","16816","Neuruppin","Brandenburg","no"
"Deutsche Bank","amenity=bank","Neuss","Niederstrasse 57","41460","Neuss","Nordrhein-Westfalen / North Rhine-Westphalia","yes"
"Deutsche Bank","amenity=bank","Neustadt / Holstein","Am Markt 9","23730","Neustadt / Holstein","Schleswig-Holstein","yes"
"Deutsche Bank","amenity=bank","Neustadt","Friedrichstraße 30","67433","Neustadt an der Weinstraße","Rheinland-Pfalz / Rhineland-Palatinate","yes"
"Deutsche Bank","amenity=bank","Neustrelitz","Strelitzer Straße 2-4","17235","Neustrelitz","Mecklenburg-Vorpommern / Mecklenburg-Western Pomerania","no"
"Deutsche Bank","amenity=bank","Neuwied","Hermannstraße 13","56564","Neuwied","Rheinland-Pfalz / Rhineland-Palatinate","yes"
"Deutsche Bank","amenity=bank","Norden","Osterstraße 1","26506","Norden","Niedersachsen / Lower Saxony","yes"
"Deutsche Bank","amenity=bank","Norderstedt","Schmuggelstieg 10","22848","Norderstedt","Schleswig-Holstein","yes"
"Deutsche Bank","amenity=bank","Nordhausen","Käthe-Kollwitz-Straße 1","99734","Nordhausen","Thüringen / Thuringia","no"
"Deutsche Bank","amenity=bank","Nordhorn","Bentheimer Straße 4","48529","Nordhorn","Niedersachsen / Lower Saxony","no"
"Deutsche Bank","amenity=bank","Nürnberg-Karolinenstraße","Karolinenstraße 30","90402","Nürnberg","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","Nürnberg-Bayreuther Straße","Bayreuther Straße 18","90489","Nürnberg","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","Nürnberg-Landgrabenstraße","Landgrabenstraße 144","90459","Nürnberg","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","Nürnberg-Langwasser","Oppelner Straße 196","90473","Nürnberg","Bayern / Bavaria","no"
"Deutsche Bank","amenity=bank","Oldenburg in Holstein","Markt 24-25","23758","Oldenburg in Holstein","Schleswig-Holstein","yes"
"Deutsche Bank","amenity=bank","Olpe","Martinstraße 2","57462","Olpe","Nordrhein-Westfalen / North Rhine-Westphalia","no"
"Deutsche Bank","amenity=bank","Oranienburg","Bernauer Straße 18","16515","Oranienburg","Brandenburg","yes"
"Deutsche Bank","amenity=bank","Oschersleben","Halberstädter Straße 100","39387","Oschersleben","Sachsen-Anhalt / Saxony-Anhalt","no"
"Deutsche Bank","amenity=bank","Osnabrück","Wittekindstraße 9-10","49074","Osnabrück","Niedersachsen / Lower Saxony","yes"
"Deutsche Bank","amenity=bank","Osterode","Kornmarkt 3","37520","Osterode","Niedersachsen / Lower Saxony","no"
