FID,OBJECTID,SHAPE,BEZIRK,STRASSE,ONR,TELEFON,OEFFNUNGSZEIT,INFORMATION,ABTEILUNG,KATEGORIE,SE_ANNO_CAD_DATA
WCANLAGEOGD.288282,288282,POINT (16.402946260672007 48.18399981236092),3,St. Marxer Friedhof,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288283,288283,POINT (16.332999875003402 48.181075925388626),12,Meidlinger Markt / Niederhofstraße,,+43 (1) 546 48,MO-SA: 6-23:00 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.288284,288284,POINT (16.419067722969753 48.23915494101316),22,"WIG 64 (Donaupark, Sparefroh)",,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288285,288285,POINT (16.30950381036854 48.20419116629743),16,Mistplatz Ottakring (Kendlerstr.38),,,Mo-Sa: 7-18 Uhr,,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288286,288286,POINT (16.320632038372292 48.22506235417387),17,Mistplatz Hernals (Richthausenstr.4),,,Mo-Sa: 7-18 Uhr,,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288287,288287,POINT (16.50043893993274 48.251046804792466),22,Mistplatz Breitenlee (Breitenleerstr.268),,,Mo-Sa: 7-18 Uhr,,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288288,288288,POINT (16.44761689116679 48.212388651591326),22,Mistplatz Stadlau (Mühlwasserstr.2),,,Mo-Sa: 7-18 Uhr,,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288289,288289,POINT (16.367464325253312 48.142644974402046),23,Mistplatz Inzersdorf (Südrandstr.2),,,Mo-Sa: 7-18 Uhr,,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288290,288290,POINT (16.307129182304095 48.22200824773088),16,Kongreßpark,,+43 (1) 546 48,MO-SO: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288291,288291,POINT (16.342467359397833 48.21156899762892),8,Bennoplatz / Restaurant Prinz Ferdinand,2,,Mo-So: 11-23 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288292,288292,POINT (16.34374215516552 48.213577175258955),8,Albertgasse-Pizzeria Trattoria Lavanderia,51,,Mo-So: 11-23 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288293,288293,POINT (16.27606005489671 48.23947733861305),17,Marswiese,,,Mo-So: 7-23 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
