Name	Art	Breitengrad	Längengrad	Strasse	Hausnummer	Plz	Ort	Rollstuhlgerecht	mobidat-ID	Deeplink
BURGER KING	Selbstbedienungsgaststätten	52.5129004	13.3266784	Straße des 17. Juni	100	10557	Mitte	teilweise	88205	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/88205/
BURGER KING 	Selbstbedienungsgaststätten	52.5228600	13.4132900	Alexanderplatz	8	10178	Mitte	teilweise	88206	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/88206/
BURGER KING	Selbstbedienungsgaststätten	52.5147400	13.4188900	Holzmarktstraße	4	10179	Mitte	teilweise	88209	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/88209/
BURGER KING	Selbstbedienungsgaststätten	52.4801102	13.3858317	Tempelhofer Damm	28 - 30	12101	Tempelhof - Schöneberg	teilweise	88504	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/88504/
Burger King	Selbstbedienungsgaststätten	52.4401200	13.3803700	Großbeerenstraße	2	12107	Tempelhof - Schöneberg	teilweise	95163	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/95163/
BURGER KING an der Prenzlauer Promenade	Selbstbedienungsgaststätten	52.5681343	13.4279493	Prenzlauer Promenade	69	13089	Pankow	teilweise	87916	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87916/
Burger King im Allee-Center	Selbstbedienungsgaststätten	52.5349700	13.4959000	Landsberger Allee	277	13055	Lichtenberg	ja	7103	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/7103/
BURGER KING im Bahnhof Alexanderplatz 	Selbstbedienungsgaststätten	52.5218810	13.4105623	Bahnhof Alexanderplatz		10178	Mitte	teilweise	89777	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/89777/
BURGER KING im Flughafen Tegel	Selbstbedienungsgaststätten	52.5542500	13.2902640	Flughafen Tegel	1	13405	Reinickendorf	teilweise	87882	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87882/
BURGER KING im Linden-Center	Selbstbedienungsgaststätten	52.5634000	13.5051000	Prerower Platz	1	13051	Lichtenberg	ja	52894	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/52894/
BURGER KING in den Gropius Passagen	Selbstbedienungsgaststätten	52.4300500	13.4576100	Johannisthaler Chaussee	295 - 327	12351	Neukölln	ja	82289	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/82289/
BURGER KING in den Gropius Passagen	Selbstbedienungsgaststätten	52.4300500	13.4576100	Johannisthaler Chaussee	295 - 327	12351	Neukölln	ja	87686	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87686/
BURGER KING in der Landsberger Allee	Selbstbedienungsgaststätten	52.5292900	13.4581880	Landsberger Allee	119	10407	Pankow	teilweise	87900	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87900/
Burgeramt Frühstücksclub	Cafés und Bistros	52.5102786	13.4596071	Krossener Straße	22	10245	Friedrichshain - Kreuzberg	teilweise	76531	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/76531/
Burkardt Reisen GmbH	Reisebüros, Reiseveranstalter	52.5491700	13.4493400	Langhansstraße	5	13086	Pankow	ja	98249	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/98249/
Burmeister & Splitter GmbH Berlin - Kaminstudio	Waren von A-Z	52.4905838	13.3084042	Konstanzer Straße	26	10709	Charlottenburg - Wilmersdorf	ja	84265	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/84265/
Bursche Brillen 	Optiker	52.5152034	13.4909810	Schottstraße	4	10365	Lichtenberg	teilweise	16151	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/16151/
Bursche Brillen & Contactlinsen OHG	Optiker	52.5048100	13.5613800	Elsterwerdaer Platz	1	12683	Marzahn - Hellersdorf	ja	69871	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/69871/
Bursche Brillen im Forum Köpenick	Optiker	52.4583700	13.5785800	Bahnhofstraße	33 - 38	12555	Treptow - Köpenick	ja	13588	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/13588/
Bursche Brillen Kids	Optiker	52.5489223	13.4530940	Berliner Allee	51	13088	Pankow	ja	76949	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/76949/
Bursche Brillen Weißensee	Optiker	52.5489223	13.4530940	Berliner Allee	51	13088	Pankow	ja	79150	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/79150/
Buschkrug	Restaurants und Gaststätten	52.4548900	13.4510800	Buschkrugallee	103	12359	Neukölln	teilweise	85888	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/85888/
Butlers GmbH & Co. KG	Glas, Porzellan und Haushaltswaren	52.5192500	13.3880600	Friedrichstraße	148	10117	Mitte	ja	89860	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/89860/
Butlers im Alexa am Alexanderplatz	Glas, Porzellan und Haushaltswaren	52.5199800	13.4147500	Grunerstraße	20	10179	Mitte	ja	66866	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/66866/
BUTLERS in den Wilmersdorfer Arcaden	Glas, Porzellan und Haushaltswaren	52.5092740	13.3047220	Wilmersdorfer Straße	46	10627	Charlottenburg - Wilmersdorf	teilweise	87370	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87370/
Butterfly	Kosmetiker	52.5047105	13.3967553	Lindenstraße	28	10969	Friedrichshain - Kreuzberg	teilweise	92746	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/92746/
Butterstulle	Imbisse	52.5220886	13.3821102	Marienstraße	25	10117	Mitte	teilweise	91707	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/91707/
BVC Computerhandel	Computerverkauf	52.4232648	13.4846504	Zwickauer Damm	5	12353	Neukölln	ja	84116	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/84116/
BVG - Fundbüro	Fundbüros	52.4938600	13.3606000	Potsdamer Straße	180	10783	Tempelhof - Schöneberg	ja	84798	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/84798/
BVG Service-Punkt	Tourismusinformation	52.5235670	13.4127060	Alexanderplatz		10178	Mitte	teilweise	83803	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/83803/
BWB  - Berliner Werkstätten für Behinderte mbH	Werkstätten für Behinderte	52.5532200	13.5706500	Blumberger Damm	233 - 235	12681	Marzahn - Hellersdorf	teilweise	88100	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/88100/
BWB Berliner Werkstätten für Behinderte 	Werkstätten für Behinderte	52.4813898	13.4212730	Fontanestraße	30	12049	Neukölln	ja	81828	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/81828/
BWB Berliner Werkstätten für Behinderte 	Werkstätten für Behinderte	52.4693800	13.4559000	Lahnstraße	3	12055	Neukölln	teilweise	81831	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/81831/
BWB Berliner Werkstätten für Behinderte	Werkstätten für Behinderte	52.5604800	13.5552600	Wolfener Straße	36k	12681	Marzahn - Hellersdorf	teilweise	88097	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/88097/
BWB-Nord Berliner Werkstätten für Behinderte	Werkstätten für Behinderte	52.5373100	13.3431400	Westhafenstraße	4	13353	Mitte	teilweise	81959	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/81959/
BWS Blindenwohnstätten Berlin	Betreutes Wohnen	52.5663800	13.2104500	Niederneuendorfer Allee	6 - 9	13587	Spandau	teilweise	81507	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/81507/
BWS Blindenwohnstätten Berlin - Mehrfachbehindertenbereich	Pflegeheime/Pflegewohnheime	52.5663800	13.2104500	Niederneuendorfer Allee	6 - 9	13587	Spandau	teilweise	81505	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/81505/
C & A	Bekleidung allgemein	52.4583700	13.5785800	Bahnhofstraße	33 - 38	12555	Treptow - Köpenick	ja	76842	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/76842/
C & M Bistro	Cafés und Bistros	52.5275900	13.4802100	Weißenseer Weg	1	10367	Lichtenberg	teilweise	86680	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/86680/
C & S Boutique	Oberbekleidung und Boutique	52.4504000	13.2538800	Ladenstraße	53	14169	Steglitz - Zehlendorf	ja	87034	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87034/
C&A	Bekleidung allgemein	52.4562810	13.5092840	Schnellerstraße	21	12439	Treptow - Köpenick	ja	32042	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/32042/
C&A	Bekleidung allgemein	52.5971200	13.3539600	Wilhelmsruher Damm	138	13439	Reinickendorf	ja	55714	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/55714/
C&A 	Bekleidung allgemein	52.5358863	13.2013096	Carl-Schurz-Straße	12	13597	Spandau	teilweise	80346	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/80346/
C&A	Bekleidung allgemein	52.4300500	13.4576100	Johannisthaler Chaussee 	295 - 317	12351	Neukölln	ja	87333	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87333/
C&A	Kaufhäuser	52.4613300	13.3252900	Schloßstraße	17a	12163	Steglitz - Zehlendorf	teilweise	87519	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87519/
C&A - Kids Store	Bekleidung allgemein	52.5349700	13.4959000	Landsberger Allee	277	13055	Lichtenberg	ja	48057	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/48057/
C-College GmbH Studio Berlin	Schülernachhilfe	52.5313400	13.4250600	Immanuelkirchstraße	14a	10405	Pankow	teilweise	94853	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/94853/
C-FOX.DE Internetstation	Internetcafés	52.5383046	13.2070028	Havelstraße	6	13597	Spandau	teilweise	76175	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/76175/
C. BECHSTEIN im stilwerk Berlin	Musikinstrumente	52.5058216	13.3252261	Kantstraße	17	10623	Charlottenburg - Wilmersdorf	teilweise	89431	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/89431/
C. BECHSTEIN im stilwerk Berlin	Musikinstrumente	52.5058216	13.3252261	Kantstraße	17	10623	Charlottenburg - Wilmersdorf	teilweise	89432	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/89432/
C.S.P  Car Service Privat  	Reparaturen	52.5526087	13.5033991	Biesterfelder Straße	29	13053	Lichtenberg	teilweise	59348	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/59348/
c.wichtendahl.galerie.	Galerien	52.5275800	13.4011800	Joachimstraße	7	10119	Mitte	ja	29635	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/29635/
C4 All im Alexa am Alexanderplatz	Mobiltelefone und Zubehör	52.5199800	13.4147500	Grunerstraße	20	10179	Mitte	ja	85610	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/85610/
CA CHI - Ihr Schönheitssalon 	Fußpflege	52.5000400	13.5044800	Baikalstraße	21	10319	Lichtenberg	teilweise	94475	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/94475/
Cabiola - Sonnenhaus e.V.	Cafés und Bistros	52.4557375	13.5131766	Flutstraße	1	12459	Treptow - Köpenick	teilweise	44341	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/44341/
CABUWAZI  - Kinder- und Jugendzirkus Springling Marzahn (Zirkuszelt)	Begegnungs- und Freizeitstätten	52.5513205	13.5453534	Otto-Rosenberg-Straße	2	12681	Marzahn - Hellersdorf	teilweise	96636	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/96636/
Cacao Sampaka am Dom Aquarée 	Feinkostläden	52.5194200	13.4029000	Karl-Liebknecht-Straße	3	10178	Mitte	teilweise	80761	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/80761/
CAFÉ OASE	Cafés und Bistros	52.5408829	13.6075902	Hellersdorfer Promenade	14c	12627	Marzahn - Hellersdorf	teilweise	80776	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/80776/
Cafè & Crèperia	Cafés und Bistros	52.4207077	13.4908441	Alt-Rudow	12	12357	Neukölln	teilweise	97752	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/97752/
Cafè Frosch	Cafés und Bistros	52.4040606	13.5104350	Waltersdorfer Chaussee	160	12355	Neukölln	teilweise	97987	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/97987/
Cafè Re	Cafés und Bistros	52.5128870	13.4105042	Märkisches Ufer	22	10179	Mitte	teilweise	74261	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/74261/
Cafè Villon	Restaurants und Gaststätten	52.5157900	13.2918200	Seelingstraße	32	14059	Charlottenburg - Wilmersdorf	teilweise	84222	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/84222/
Cafè Zeit	Cafés und Bistros	52.4376400	13.5548800	Wassermannstraße	97	12489	Treptow - Köpenick	teilweise	80900	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/80900/
Café & Bäckerei A & O	Bäckereien, Konditoreien	52.4995315	13.3906306	Mehringplatz	14	10969	Friedrichshain - Kreuzberg	ja	93015	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/93015/
Café -bonfortionös- zum Wohlfühlen	Cafés und Bistros	52.4478200	13.6275500	Scharnweberstraße	6	12587	Treptow - Köpenick	teilweise	92869	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/92869/
Café / Bistro LEYLAK	Cafés und Bistros	52.4983900	13.4190700	Kottbusser Straße	25	10999	Friedrichshain - Kreuzberg	teilweise	81479	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/81479/
Café Al Mundo	Restaurants und Gaststätten	52.5118818	13.2949568	Horstweg	5	14059	Charlottenburg - Wilmersdorf	teilweise	92799	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/92799/
Café am Ufer	Cafés und Bistros	52.4956808	13.4231688	Paul-Lincke-Ufer	42	10999	Friedrichshain - Kreuzberg	teilweise	1136	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/1136/
Café au lait	Cafés und Bistros	52.5066308	13.3055976	Kantstraße	110	10627	Charlottenburg - Wilmersdorf	teilweise	5225	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/5225/
Café Bar Zar	Bars	52.4907000	13.3234300	Uhlandstraße	124	10717	Charlottenburg - Wilmersdorf	teilweise	94245	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/94245/
Café Baume	Cafés und Bistros	52.4647391	13.4862625	Baumschulenstraße	26	12437	Treptow - Köpenick	ja	70868	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/70868/
Café Bäckerei Acelya	Bäckereien, Konditoreien	52.5064900	13.3146700	Kantstraße	38	10625	Charlottenburg - Wilmersdorf	teilweise	87945	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87945/
Café Bäckerei Süss	Bäckereien, Konditoreien	52.5063365	13.4696955	Boxhagener Straße	60 - 61	10245	Friedrichshain - Kreuzberg	teilweise	82215	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/82215/
Café BilderBuch	Cafés und Bistros	52.4867700	13.3551233	Akazienstraße	28	10823	Tempelhof - Schöneberg	teilweise	4820	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/4820/
Café CABINETT Bistro	Cafés und Bistros	52.5193405	13.3562196	Joachim-Karnatz-Allee	45	10557	Mitte	teilweise	29756	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/29756/
Café Chagall im S-Bahnbogen	Cafés und Bistros	52.5201900	13.3933000	Georgenstraße	4	10117	Mitte	teilweise	5140	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/5140/
Café Dakota	Cafés und Bistros	52.4289800	13.2592100	Teltower Damm	54	14167	Steglitz - Zehlendorf	teilweise	87155	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/87155/
Café de Paris	Cafés und Bistros	52.5055075	13.3416611	Budapester Straße	35	10787	Mitte	teilweise	89231	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/89231/
Café de Paris	Cafés und Bistros	52.4980046	13.3188775	Pariser Straße	42	10707	Charlottenburg - Wilmersdorf	teilweise	95080	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/95080/
Café Do The Pop	Cafés und Bistros	52.5294200	13.4187500	Prenzlauer Allee	6	10405	Pankow	teilweise	95715	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/95715/
